provider,instance,bench_key,bench_name,unit,avg,min,max,1st_quartile,2nd_quartile,3rd_quartile,iqr,std,cpr,deg,std_perc,grad_std_perc,pqi
egi,T3-2,4ff72d794db9bfc16f363cb21933f7860dc2a796,MEM OPS,ops/s,5993.843439226519,4945.276666666668,7183.796666666666,5643.19,5969.95,6326.953333333334,683.7633333333342,492.7484681880285,2.0856066940602602e-05,0.03396201419395794,0.08220909891694063,0.05707310869775184,0.0577480739362168
egi,T4-1,4ff72d794db9bfc16f363cb21933f7860dc2a796,MEM OPS,ops/s,7523.419553406998,6505.063333333334,8814.766666666666,7328.005,7512.335,7715.9575,387.9525000000003,340.8997400715065,3.323169713255985e-05,0.017203402627151528,0.04531180770280574,0.030771282040749238,0.03109549745690217
egi,T1-1,56d916334c55408ad318eff68579a8b585569a4b,NETB 3,MB/s,16.938903225806452,0.43600000000000005,54.968,4.649500000000001,15.027999999999999,27.359499999999997,22.709999999999997,13.804486401154731,0.004207592371825879,0.34610395713651915,0.8149575103613302,0.5465983206559488,0.5692199293845994
egi,T1-2,56d916334c55408ad318eff68579a8b585569a4b,NETB 3,MB/s,19.251198387096775,0.44800000000000006,57.522000000000006,6.440999999999999,17.831,30.074999999999996,23.633999999999997,14.892504420329857,0.0037022110814550883,0.3263494914446898,0.7735884343860714,0.5409600541302891,0.54696599332035
egi,T2-1,56d916334c55408ad318eff68579a8b585569a4b,NETB 3,MB/s,20.174090860215053,0.438,63.662,6.4590000000000005,18.208999999999996,30.2155,23.7565,15.831677094652608,0.00706569634228764,0.32111513381776086,0.7847529390220981,0.5580415281391824,0.5546365336596804
egi,T3-1,56d916334c55408ad318eff68579a8b585569a4b,NETB 3,MB/s,22.23668064516129,0.45199999999999996,63.712,7.775499999999999,20.123,32.186,24.4105,15.789328894226154,0.005621702357235669,0.29221286185553264,0.7100578160104988,0.4977889457547609,0.5000198745402641
egi,T3-2,56d916334c55408ad318eff68579a8b585569a4b,NETB 3,MB/s,14.889625806451614,0.394,47.222,4.1530000000000005,13.016,23.5,19.347,11.583135564411693,0.00839564416359171,0.3330428834848481,0.7779332882491089,0.49090510203793275,0.5339604245906299
egi,T4-1,56d916334c55408ad318eff68579a8b585569a4b,NETB 3,MB/s,15.979961290322581,0.384,46.028,2.3914999999999997,12.421,26.712000000000003,24.320500000000003,13.865097976624952,0.01564559484580285,0.37895716531763496,0.8676552918198629,0.6693386273168219,0.6386503614847732
egi,T1-1,5b6cb427d11dfdd876e2dfedeb8039bbb2bf00b8,CPU SHA256,seconds,5.198447513812154,5.044666666666667,5.425,5.1546666666666665,5.196833333333333,5.239,0.08433333333333337,0.06415109988194496,0.3705037512044199,0.004925040302424312,0.012340434276098197,0.008728859578738167,0.008664778052420226
egi,T1-2,5b6cb427d11dfdd876e2dfedeb8039bbb2bf00b8,CPU SHA256,seconds,3.1882859116022098,3.0323333333333333,3.376,3.1546666666666665,3.189666666666667,3.2243333333333335,0.06966666666666699,0.05108929969389585,0.2272355134917127,0.006395737501665445,0.016024064688797603,0.01133055898240865,0.011250120390957232
